Combination,x_est_1,x_est_2,x_est_3,x_est_4,x_est_5,x_est_6,x_est_7,x_est_8,Residual,CondNum
"A,B,C,D,E,F,G,H",1.8460490463215473,9.798365122615754,0.0,22.5490463215259,0.0,9.753405994550405,28.053133514986392,0.0,0.0,inf
"A,B,C,D,E,F,G,I",19.393603301521726,5.787206603043682,0.0,7.636445705442344,0.0,19.851173587825627,0.0,5.331570802166605,0.0,inf
"A,B,C,D,E,F,G,J",19.420141036743807,3.6036125201039164,0.0,10.100705183718901,0.0,19.638871706049734,0.0,10.236669553383646,0.0,4.4692937612113075e+50
"A,B,C,D,E,F,G,K",11.160270880361235,10.74999999999997,0.0,11.660270880361134,21.35496613995485,0.0,0.0,13.074492099322809,0.0,inf
"A,B,C,D,E,F,G,L",11.189189189189268,10.729729729729621,0.0,11.648648648648669,21.35135135135135,0.0,0.0,18.081081081081102,0.0,inf
"A,B,C,D,E,F,G,M",0.08067324434130096,17.876281679241675,0.0,14.833236602824455,0.0,20.4610176049526,0.0,5.748790868639959,0.0,6.362565391741169e+51
"A,B,C,D,E,F,G,N",0.0,15.40009201042798,0.0,17.77488115319723,0.0,20.169912590093663,0.10029136635471483,10.554822879926398,0.0,inf
"A,B,C,D,E,F,G,O",10.593917710196736,11.163237924865875,0.0,11.80232558139536,21.381484794275487,0.0,0.0,14.059033989266545,0.0,inf
"A,B,C,D,E,F,G,P",10.611211573236911,11.152802893309229,0.0,11.797468354430352,21.378842676311017,0.0,0.0,19.059674502712483,0.0,inf
"A,B,C,D,E,F,G,Q",11.90277155475901,18.757921013889764,0.0,0.0,0.0,8.349868783204185,13.976188952185957,7.013249695961095,0.0,1.124981344653432e+35
"A,B,C,D,E,F,G,R",12.070752188672506,18.755642903936625,0.0,0.0,0.0,7.556726817938175,14.743672205348105,11.873205884104584,0.0,7.045206957760656e+35
"A,B,C,D,E,F,G,S",13.15343385557778,17.675167864295005,0.0,0.0,0.0,7.355813405583749,14.963010955353921,16.852573919189535,0.0,6.658649305271486e+34
"A,B,C,D,E,F,G,T",11.539416983523429,19.114258555133098,0.0,0.0,0.0,8.832002534854253,13.52110266159695,21.99321926489228,0.0,1.4159490547954147e+35
"A,B,C,D,E,F,H,I",18.12277534175907,10.245550683518195,0.0,4.574671137477446,0.0,24.01779726592726,0.0,6.039205571318031,0.0,8.249969187191506e+50
"A,B,C,D,E,F,H,J",18.15736731411604,7.399232958060108,0.0,7.786836570580254,0.0,23.741061487071622,0.0,10.915501670171965,0.0,4.342839466672188e+51
"A,B,C,D,E,F,H,K",16.57686253934949,10.244753410283213,0.0,6.066369359916074,0.0,24.020986358866736,0.0,16.091028331584493,0.0,inf
"A,B,C,D,E,F,H,L",8.171375921375917,16.16507985257985,0.0,9.501535626535619,25.822328009828016,0.0,0.0,18.339680589680594,0.0,inf
"A,B,C,D,E,F,H,M",0.0,15.648293963254657,0.0,17.691004533524158,0.0,16.82724886661895,8.697208303507507,5.136244333094717,0.0,inf
"A,B,C,D,E,F,H,N",0.0,13.98268215417118,0.0,19.60570221752894,0.0,16.600000000000044,8.8059134107708,10.005702217529036,0.0,inf
"A,B,C,D,E,F,H,O",5.677549194990968,17.98121645796068,0.0,10.145348837209367,25.948568872987472,0.0,0.0,14.247316636851515,0.0,4.9399537852187165e+67
"A,B,C,D,E,F,H,P",5.749999999999936,17.937500000000007,0.0,10.12500000000005,25.937499999999993,0.0,0.0,19.25000000000001,0.0,inf
"A,B,C,D,E,F,H,Q",12.50202846730385,18.127002681702542,0.0,0.0,0.0,8.24795434229528,19.122945747094796,7.00006876160352,0.0,9.4361051744494e+35
"A,B,C,D,E,F,H,R",12.899106573069535,17.881940012763263,0.0,0.0,0.0,7.422782386726223,19.93994894703254,11.856222080408424,0.0,5.199282189749959e+34
"A,B,C,D,E,F,H,S",14.036768415741689,16.742873360242157,0.0,0.0,0.0,7.213231584258277,20.172679112008126,16.834447527749752,0.0,6.4747307442876924e+35
"A,B,C,D,E,F,H,T",12.003204472625589,18.626099406831685,0.0,0.0,0.0,8.751005658962248,18.636530987932154,21.983159473648335,0.0,3.7556384688192013e+34
"A,B,C,D,E,F,I,J",3.024417314095427,15.75000000000003,0.0,14.256936736958922,10.701165371809102,0.0,10.267480577136508,0.0,0.0,inf
"A,B,C,D,E,F,I,K",9.940066592674818,7.749999999999967,0.0,16.642064372919005,9.869866814650383,0.0,14.798002219755825,0.0,0.0,inf
"A,B,C,D,E,F,I,L",9.38534949703378,9.770698994067589,0.0,15.522182099561519,0.0,9.917204023729683,19.404565385607423,0.0,0.0,inf
"A,B,C,D,E,F,I,M",0.0,9.976387331838524,0.0,23.76548486547089,0.0,9.416479820627803,2.1872897982062844,4.654358183856508,0.0,inf
"A,B,C,D,E,F,I,N",0.0,9.46421920723594,0.0,24.701516360734267,9.961691939345565,0.0,1.5982974195264692,9.274275073157758,0.0,inf
"A,B,C,D,E,F,I,O",0.0,10.100048844024709,0.0,23.930804298274214,10.035574731357865,0.0,1.5978508629111106,14.33572126343211,0.0,inf
"A,B,C,D,E,F,I,P",15.14913980161196,0.0,0.0,18.75699395536262,0.0,8.882555796652193,4.030475046497217,18.180835399876,0.0,1.8332778030910297e+35
"A,B,C,D,E,F,I,Q",13.27171258766994,17.543425175339763,0.0,0.0,0.0,10.018665744901483,3.3442569940791493,6.821939498009656,0.0,9.627051122200894e+35
"A,B,C,D,E,F,I,R",13.882325278903465,17.129781379758793,0.0,0.0,0.0,9.892080644354387,3.4609435189354314,11.634869178047927,0.0,1.0252206963729607e+36
"A,B,C,D,E,F,I,S",14.94286190075044,16.08397821444655,0.0,0.0,0.0,9.879797425699898,3.492780596751777,16.600581862351348,0.0,5.2779786258508595e+35
"A,B,C,D,E,F,I,T",12.643856797814886,18.131881898828535,0.0,0.0,0.0,10.109184894246175,3.270908105911829,21.844168303198575,0.0,7.833976581613312e+35
"A,B,C,D,E,F,J,K",2.859260230849998,13.26088667366209,0.0,16.381033578174147,0.0,9.956453305351529,0.0,21.542366211962232,0.0,1.3913802017344736e+51
"A,B,C,D,E,F,J,L",8.378723404255311,0.0,0.0,26.8936170212766,0.0,8.809929078014182,15.757446808510677,9.16028368794323,0.0,4.7997818967041315e+33
"A,B,C,D,E,F,J,M",0.0,11.210093672337992,0.0,22.709233416172804,10.13549034601415,0.0,6.644523035748421,4.300659529726631,0.0,inf
"A,B,C,D,E,F,J,N",0.0,10.78040757038493,0.0,23.203400692100654,10.098047592600505,0.0,6.649378391079586,9.268765753834327,0.0,inf
"A,B,C,D,E,F,J,O",0.0,11.403872300371246,0.0,22.44770694974642,10.170488417089363,0.0,6.648956753647439,14.328975579145531,0.0,inf
"A,B,C,D,E,F,J,P",0.0,11.192476208724463,0.0,22.310468161205915,0.0,9.541879031742996,7.20896723510252,19.746209363224118,0.0,inf
"A,B,C,D,E,F,J,Q",9.420778606082155,21.508223878830865,0.0,0.0,10.906046621701572,0.0,7.239379955034912,6.9255709383504955,0.0,1.799268786042236e+49
"A,B,C,D,E,F,J,R",14.044715885159057,16.96472685597857,0.0,0.0,0.0,9.865852344522908,8.451263113557788,11.673441800781676,0.0,2.5896719162003656e+35
"A,B,C,D,E,F,J,S",15.143546001191204,15.880813785948819,0.0,0.0,0.0,9.851401456208094,8.483219026761201,16.641019729890687,0.0,3.747240148311874e+34
"A,B,C,D,E,F,J,T",12.721370495606363,18.049571583336096,0.0,0.0,0.0,10.096899861024477,8.26266373395489,21.86949432607816,0.0,1.2598301072463717e+35
"A,B,C,D,E,F,K,L",1.041054564533091,9.766395592864606,0.0,23.57384575026231,0.0,9.934417628541445,29.684286463798546,0.0,0.0,inf
"A,B,C,D,E,F,K,M",0.0,10.375847412030573,0.0,23.751694824061108,10.023324007317342,0.0,11.474012697729467,4.375121058861506,0.0,inf
"A,B,C,D,E,F,K,N",0.0,9.27280505240402,0.0,24.633734478605,0.0,9.349401659368,12.126433934863618,9.61762487475937,0.0,inf
"A,B,C,D,E,F,K,O",0.0,10.620823529411714,0.0,23.42141176470594,10.067411764705883,0.0,11.480235294117648,14.410117647058827,0.0,inf
"A,B,C,D,E,F,K,P",0.0,10.735207763844938,0.0,22.883426620962915,0.0,9.48351918543267,12.104351976396055,19.793494453363415,0.0,inf
"A,B,C,D,E,F,K,Q",9.977077363896806,21.00657049698651,0.0,0.0,10.846309653196332,0.0,12.206106115996436,6.963936369923919,0.0,5.6184498396862695e+50
"A,B,C,D,E,F,K,R",10.632217090069258,20.550519630485,0.0,0.0,10.701212471131646,0.0,12.35046189376445,11.765588914549651,0.0,8.717963116376504e+50
"A,B,C,D,E,F,K,S",11.769982160727489,19.42556454770918,0.0,0.0,10.687519035809077,0.0,12.38722098942697,16.729713266327284,0.0,3.3448836506729304e+50
"A,B,C,D,E,F,K,T",9.299999999999958,21.650000000000038,0.0,0.0,10.950000000000003,0.0,12.114285714285709,21.98571428571429,0.0,2.328755390470335e+50
